,Crash Type,Collision Type,Crash Severity,Intersection Type,Crash ID,Crash Year
207082,8,9,5.0,3,1593533,2014.0
207085,3,0,4.0,3,1593537,2014.0
207089,B,1,5.0,1,1593538,2014.0
207094,E,3,5.0,3,1593541,2014.0
207099,B,1,4.0,1,1593544,2014.0
207104,B,1,4.0,1,1593547,2014.0
207110,E,3,5.0, ,1593550,2014.0
207115,C,5,5.0,1,1593552,2014.0
207120,H,6,4.0,1,1593555,2014.0
207126,B,6,5.0, ,1593559,2014.0
207131,H,6,5.0,1,1593563,2014.0
207136,C,3,5.0,5,1593569,2014.0
207143,B,1,4.0,1,1593576,2014.0
207148,B,1,5.0,1,1593580,2014.0
207153,H,6,5.0,1,1593581,2014.0
207158,B,-,5.0,1,1593584,2014.0
207163,C,3,5.0, ,1593589,2014.0
207168,C,5,5.0, ,1593591,2014.0
207173,E,3,5.0, ,1593608,2014.0
207178,8,9,4.0, ,1593610,2014.0
207181,E,3,5.0,3,1593614,2014.0
207186,C,5,4.0, ,1593615,2014.0
207191,B,1,4.0,1,1593618,2014.0
207196,E,3,4.0,1,1593619,2014.0
207201,H,6,4.0,1,1593622,2014.0
207206,E,3,4.0,1,1593623,2014.0
207211,B,6,4.0,3,1593624,2014.0
207216,E,3,4.0,1,1593625,2014.0
207221,D,6,4.0, ,1593629,2014.0
207226,B,1,4.0, ,1593634,2014.0
207231,I,-,5.0,3,1593646,2014.0
207236,8,9,4.0, ,1593655,2014.0
207239,B,1,5.0,1,1593662,2014.0
207244,E,3,4.0, ,1593668,2014.0
207251,E,3,4.0, ,1593675,2014.0
207261,E,3,4.0, ,1593680,2014.0
207267,B,6,5.0,3,1593686,2014.0
207272,8,9,5.0, ,1593689,2014.0
207275,E,3,5.0, ,1593696,2014.0
207282,H,6,4.0,3,1593698,2014.0
207287,E,3,4.0, ,1593710,2014.0
207292,E,3,4.0, ,1593711,2014.0
207302,E,3,5.0, ,1593715,2014.0
207307,E,3,4.0, ,1593728,2014.0
207312,C,3,5.0, ,1593730,2014.0
207317,E,3,5.0,3,1593731,2014.0
207322,C,5,4.0, ,1593733,2014.0
207327,B,1,5.0,1,1593735,2014.0
207332,2,5,5.0,1,1593739,2014.0
207336,J,6,4.0,1,1593748,2014.0
207342,E,3,4.0, ,1593752,2014.0
207347,3,0,4.0,1,1593756,2014.0
207351,6,6,4.0,1,1593757,2014.0
207355,H,6,5.0,1,1593759,2014.0
207360,3,0,4.0,1,1593762,2014.0
207364,E,3,5.0, ,1593765,2014.0
207369,3,0,4.0,1,1593766,2014.0
207373,B,1,4.0,1,1593767,2014.0
207379,B,1,4.0,1,1593771,2014.0
207384,B,6,5.0, ,1593773,2014.0
207389,8,9,4.0, ,1593778,2014.0
207392,2,3,4.0, ,1593782,2014.0
207396,E,3,4.0,1,1593785,2014.0
207401,B,6,5.0, ,1593787,2014.0
207406,F,6,5.0,1,1593791,2014.0
207411,8,9,4.0, ,1593794,2014.0
207416,J,6,5.0,1,1593813,2014.0
207421,B,6,5.0,1,1593814,2014.0
207426,3,0,4.0,1,1593816,2014.0
207430,B,1,5.0,5,1593818,2014.0
207435,E,3,4.0, ,1593820,2014.0
207445,8,9,4.0,1,1593821,2014.0
207449,8,9,4.0,3,1593824,2014.0
207452,E,3,4.0, ,1593825,2014.0
207461,C,5,5.0, ,1593827,2014.0
207466,B,6,4.0,1,1593829,2014.0
207471,8,9,4.0,1,1593842,2014.0
207475,C,3,4.0, ,1593843,2014.0
207484,3,0,4.0,1,1593845,2014.0
207488,E,3,4.0,1,1593847,2014.0
207494,E,3,4.0,1,1593850,2014.0
207499,B,1,4.0,1,1593852,2014.0
207504,8,9,4.0, ,1593853,2014.0
207507,E,3,4.0,1,1593854,2014.0
